loc_id,lattgt1,lattgt2,lontgt1,lontgt2,varsrc,vartgt,num_models,auc,tpr,fpr,horizon
./payload2015_2017/models/24model,41.68333,41.74444,-87.58889,-87.51111,HOMICIDE-ASSAULT-BATTERY,HOMICIDE-ASSAULT-BATTERY,85,0.5,-1.0,-1.0,7
./payload2015_2017/models/24model,41.68333,41.74444,-87.58889,-87.51111,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,HOMICIDE-ASSAULT-BATTERY,85,0.5,-1.0,-1.0,7
./payload2015_2017/models/24model,41.68333,41.74444,-87.58889,-87.51111,ALL,HOMICIDE-ASSAULT-BATTERY,85,0.5,-1.0,-1.0,7
./payload2015_2017/models/25model,41.74444,41.80556,-87.82222,-87.74444,VAR,HOMICIDE-ASSAULT-BATTERY,85,0.852887,0.701031,0.258065,7
./payload2015_2017/models/25model,41.74444,41.80556,-87.82222,-87.74444,HOMICIDE-ASSAULT-BATTERY,HOMICIDE-ASSAULT-BATTERY,85,0.851294,0.645503,0.275862,7
./payload2015_2017/models/25model,41.74444,41.80556,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,HOMICIDE-ASSAULT-BATTERY,85,0.854966,0.687151,0.25,7
./payload2015_2017/models/25model,41.74444,41.80556,-87.82222,-87.74444,ALL,HOMICIDE-ASSAULT-BATTERY,85,0.843856,0.659091,0.242424,7
./payload2015_2017/models/26model,41.80556,41.86667,-87.82222,-87.74444,VAR,HOMICIDE-ASSAULT-BATTERY,85,0.837804,0.639535,0.348571,7
./payload2015_2017/models/26model,41.80556,41.86667,-87.82222,-87.74444,HOMICIDE-ASSAULT-BATTERY,HOMICIDE-ASSAULT-BATTERY,85,0.77541,0.467532,0.461957,7
./payload2015_2017/models/26model,41.80556,41.86667,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,HOMICIDE-ASSAULT-BATTERY,85,0.787415,0.463415,0.382979,7
./payload2015_2017/models/26model,41.80556,41.86667,-87.82222,-87.74444,ALL,HOMICIDE-ASSAULT-BATTERY,85,0.759476,0.448276,0.505495,7
./payload2015_2017/models/27model,41.92778,41.98889,-87.9,-87.82222,VAR,HOMICIDE-ASSAULT-BATTERY,85,0.815198,0.589744,0.376812,7
./payload2015_2017/models/27model,41.92778,41.98889,-87.9,-87.82222,HOMICIDE-ASSAULT-BATTERY,HOMICIDE-ASSAULT-BATTERY,85,0.836977,0.647799,0.366197,7
./payload2015_2017/models/27model,41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,HOMICIDE-ASSAULT-BATTERY,85,0.846951,0.573248,0.277778,7
./payload2015_2017/models/27model,41.92778,41.98889,-87.9,-87.82222,ALL,HOMICIDE-ASSAULT-BATTERY,85,0.819751,0.564103,0.308824,7
./payload2015_2017/models/28model,41.92778,41.98889,-87.82222,-87.74444,VAR,HOMICIDE-ASSAULT-BATTERY,85,0.5,-1.0,-1.0,7
./payload2015_2017/models/28model,41.92778,41.98889,-87.82222,-87.74444,HOMICIDE-ASSAULT-BATTERY,HOMICIDE-ASSAULT-BATTERY,85,0.5,-1.0,-1.0,7
./payload2015_2017/models/28model,41.92778,41.98889,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,HOMICIDE-ASSAULT-BATTERY,85,0.5,-1.0,-1.0,7
./payload2015_2017/models/28model,41.92778,41.98889,-87.82222,-87.74444,ALL,HOMICIDE-ASSAULT-BATTERY,85,0.5,-1.0,-1.0,7
./payload2015_2017/models/29model,41.92778,41.98889,-87.66667,-87.58889,VAR,HOMICIDE-ASSAULT-BATTERY,85,0.5,-1.0,-1.0,7
./payload2015_2017/models/29model,41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,HOMICIDE-ASSAULT-BATTERY,85,0.5,-1.0,-1.0,7
./payload2015_2017/models/29model,41.92778,41.98889,-87.66667,-87.58889,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,HOMICIDE-ASSAULT-BATTERY,85,0.5,-1.0,-1.0,7
./payload2015_2017/models/29model,41.92778,41.98889,-87.66667,-87.58889,ALL,HOMICIDE-ASSAULT-BATTERY,85,0.5,-1.0,-1.0,7
./payload2015_2017/models/30model,41.98889,42.05,-87.82222,-87.74444,VAR,HOMICIDE-ASSAULT-BATTERY,85,0.860918,0.705882,0.267442,7
./payload2015_2017/models/30model,41.98889,42.05,-87.82222,-87.74444,HOMICIDE-ASSAULT-BATTERY,HOMICIDE-ASSAULT-BATTERY,85,0.816017,0.59589,0.423077,7
./payload2015_2017/models/30model,41.98889,42.05,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,HOMICIDE-ASSAULT-BATTERY,85,0.799918,0.553191,0.472973,7
./payload2015_2017/models/30model,41.98889,42.05,-87.82222,-87.74444,ALL,HOMICIDE-ASSAULT-BATTERY,85,0.834561,0.613333,0.310811,7
./payload2015_2017/models/31model,41.98889,42.05,-87.74444,-87.66667,VAR,HOMICIDE-ASSAULT-BATTERY,85,0.923072,0.846154,-1.0,7
./payload2015_2017/models/31model,41.98889,42.05,-87.74444,-87.66667,HOMICIDE-ASSAULT-BATTERY,HOMICIDE-ASSAULT-BATTERY,85,0.781685,0.56338,-1.0,7
./payload2015_2017/models/31model,41.98889,42.05,-87.74444,-87.66667,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,HOMICIDE-ASSAULT-BATTERY,85,0.956813,0.913636,0.0,7
./payload2015_2017/models/31model,41.98889,42.05,-87.74444,-87.66667,ALL,HOMICIDE-ASSAULT-BATTERY,85,0.983534,0.967078,0.0,7
./payload2015_2017/models/32model,41.98889,42.05,-87.66667,-87.58889,VAR,HOMICIDE-ASSAULT-BATTERY,85,0.943031,0.882883,0.125,7
